TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SQIA3;17,42;0,38;53,99;1,95;1,01;40,94;10,31;5,12;26,79;29,36;2,57;0,19;2,76;38298,73;-1,21;1;3,62;1,87;4,12;0,52;0,48;0,37;33,05;27,93;10026678,3;8,91;0,32;0,38;1531949152
STBP3;8,49;7,76;17,45;3,43;1,48;43,91;28,52;22,04;13,49;12,7;-0,79;-0,2;3,85;14,14;-1,87;1,99;19,64;8,47;15,41;0,43;0,57;0,38;13,09;;42109444,17;2,48;0,49;0,12;7332408927
STKF3;0;;0;0;0;46,97;33,03;25,63;0;2,03;2,03;0,17;0;0;0;2,61;6,46;4,18;4,48;0,65;0,35;0,16;15,48;;;6,84;0,44;0;0
STTR3;0;;0;0;0;31,37;17,25;14,11;0;-0,22;-0,22;-0,09;0;0;0;2,46;32,1;17,86;25,38;0,56;0,44;1,27;22,02;;;2,91;0,94;0;0
SULA11;22,25;0,27;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;98011165,19;19,64;0,43;-0,94;9475042424
SULA3;7,43;0,27;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;43292,81;6,55;0,14;-0,95;9475042424
SULA4;7,63;0,26;53,73;1,17;0,32;4,25;-3,34;0,83;-13,3;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,6;-8,72;0,28;0,72;0,73;4,58;-23,56;90108,19;6,55;0,14;-0,97;9475042424
SUZB3;46,4;5,15;3,46;2,26;0,49;49,45;41,93;38,86;3,21;6,17;2,96;2,08;1,35;2,71;-0,68;2,81;65,24;14,18;15,82;0,22;0,78;0,36;32,9;60,88;283792587,2;20,53;13,4;0,07;63162630298
SYNE3;4,04;12,97;0,5;0,4;0,15;69,6;67,81;53,26;0,39;0,79;0,39;0,4;0,27;1;-0,18;6,61;79,34;29,28;39,56;0,37;0,36;0,55;40,5;;1412264,13;10,16;8,06;0;616683557,8
TAEE11;35,97;17,21;6,7;1,78;0,69;84,89;102,94;65,49;4,26;6,64;2,38;0,99;4,39;4,68;-0,87;3,71;26,61;10,36;17,16;0,39;0,61;0,16;20,07;16,49;95119915,77;20,18;5,37;-0,23;12391625685
TAEE3;11,94;17,28;6,67;1,78;0,69;84,89;102,94;65,49;4,24;6,64;2,38;0,99;4,37;4,67;-0,87;3,71;26,61;10,36;17,16;0,39;0,61;0,16;20,07;16,49;3298903,17;6,73;1,79;-0,23;12391625685
TAEE4;12,02;17,17;6,72;1,79;0,7;84,89;102,94;65,49;4,27;6,64;2,38;0,99;4,4;4,7;-0,87;3,71;26,61;10,36;17,16;0,39;0,61;0,16;20,07;16,49;6338997,57;6,73;1,79;-0,23;12391625685
TASA3;14,97;10,85;3,13;1,75;0,81;47,87;32,76;21,93;2,09;2,38;0,26;0,22;0,69;3,41;-2,46;1,55;55,91;25,88;38;0,46;0,54;1,18;26,98;;742318,93;8,56;4,78;-0,22;1910953410
TASA4;15,16;10,71;3,17;1,77;0,82;47,87;32,76;21,93;2,12;2,38;0,26;0,22;0,7;3,46;-2,49;1,55;55,91;25,88;38;0,46;0,54;1,18;26,98;;10805242,73;8,56;4,78;-0,22;1910953410
TCNO3;1,2;;-7,52;-8,4;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0;1;0;;;4272,71;-0,14;-0,16;-0,28;6451072,5
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0;1;0;;;12175,76;-0,14;-0,16;-0,2;6451072,5
TCSA3;2,66;;-2,66;0,34;0,13;8,42;-24,28;-40,28;-4,41;-14,36;-9,95;0,77;1,07;0,36;-0,26;3,12;-12,81;-4,77;-4,1;0,37;0,57;0,12;-15,57;;1577971,4;7,82;-1;0,05;195827151,8
TECN3;2,32;3,53;4,76;0,5;0,27;53,19;16,71;10,23;2,92;3,49;0,58;0,1;0,49;0,55;-0,78;4,28;10,58;5,74;11,98;0,54;0,46;0,56;-2,72;;931680,6;4,6;0,49;0,03;172854418,8
TEKA3;8,23;;-0,04;0;0;19,45;6,8;-39,9;0,24;34,05;33,71;;0,02;0;0;0,04;-5,61;-9,53;-1,22;-1,7;2,7;0,24;7,53;;816;-3661,67;-205,31;0;6038424,05
TEKA4;13,89;;-0,07;0;0,01;19,45;6,8;-39,9;0,4;34,05;33,71;;0,03;0;-0,01;0,04;-5,61;-9,53;-1,22;-1,7;2,7;0,24;7,53;;37845,67;-3661,67;-205,31;0;6038424,05
TELB3;13,9;;-7,92;0,72;0,3;-54,22;-17,16;-44,11;-20,34;-2,55;16,26;-0,58;3,49;0,99;-0,48;4,98;-9,15;-3,78;-3,22;0,41;0,59;0,09;38,5;;21974,76;19,19;-1,76;-1,42;1110344170
TELB4;8,99;;-5,12;0,47;0,19;-54,22;-17,16;-44,11;-13,16;-2,55;16,26;-0,58;2,26;0,64;-0,31;4,98;-9,15;-3,78;-3,22;0,41;0,59;0,09;38,5;;35969,79;19,19;-1,76;-0,92;1110344170
TEND3;3,99;;-0,79;0,49;0,1;6,16;-20,31;-22,88;-0,89;-2,61;-1,72;0,95;0,18;0,88;-0,17;1,34;-62,35;-12,29;-21,73;0,2;0,8;0,54;19,26;;18496256,03;8,09;-5,04;0;416333541,5
TESA3;48;;-13,3;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,1;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1389696672
TFCO4;11,18;1,61;109,63;33,38;20,52;58,17;23;18,14;86,43;14,83;0,29;0,11;19,88;40,8;-74,46;3,27;30,45;18,72;24,51;0,61;0,39;1,03;;;1630311,2;0,33;0,1;2,04;1785647257
TGMA3;18,01;6,23;9,01;1,61;1,15;19,84;13,78;10,43;6,81;6,76;-0,05;-0,01;0,94;4,29;-2,21;2,26;17,93;12,75;15,43;0,71;0,29;1,22;1,74;57,03;2882635,7;11,16;2;0,39;1188712499
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1031,49;-0,52;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5004795801
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1435,37;-0,72;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5004795801
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1443,59;-0,72;1;51,45;10,47;13,16;0,2;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5004795801
